Company,Ratings,Reviews,Salary,Interviews,Jobs
TCS,3.8,63500.0,734700.0,5300.0,45.0
Accenture,4.1,40500.0,513100.0,3600.0,15100.0
Cognizant,3.9,36900.0,497500.0,3200.0,618.0
Wipro,3.8,33700.0,370000.0,3100.0,1000.0
ICICI Bank,4.0,29900.0,137000.0,1600.0,201.0
HDFC Bank,3.9,29500.0,125800.0,1300.0,422.0
Infosys,3.9,27800.0,417800.0,4300.0,901.0
Capgemini,3.9,25800.0,337900.0,2200.0,663.0
Tech Mahindra,3.7,24200.0,236500.0,2100.0,1300.0
HCLTech,3.7,23400.0,250000.0,2100.0,702.0
Genpact,4.0,23200.0,176300.0,1700.0,614.0
Axis Bank,3.8,19700.0,94100.0,961.0,304.0
Concentrix Corporation,3.9,18900.0,96800.0,917.0,174.0
Amazon,4.2,18100.0,119300.0,3000.0,701.0
Reliance Jio,3.9,17900.0,67000.0,1000.0,162.0
IBM,4.1,17800.0,203300.0,1300.0,3000.0
Larsen & Toubro Limited,4.0,16800.0,77900.0,919.0,205.0
HDB Financial Services,4.0,15800.0,49400.0,502.0,120.0
Reliance Retail,3.9,15800.0,54500.0,999.0,254.0
Teleperformance,3.6,14900.0,72700.0,991.0,236.0
Vodafone Idea,4.2,14400.0,66900.0,378.0,357.0
Deloitte,4.0,12800.0,138700.0,1400.0,344.0
BYJU'S,3.2,12600.0,49800.0,1700.0,916.0
Kotak Mahindra Bank,3.8,12500.0,74800.0,638.0,177.0
Reliance Industries,4.0,11700.0,65200.0,818.0,144.0
Bharti Airtel,4.0,10800.0,45700.0,491.0,317.0
Tata Motors,4.2,10100.0,43200.0,650.0,19.0
Ernst & Young,3.7,8800.0,105300.0,792.0,1700.0
Flipkart,4.1,8700.0,45400.0,910.0,398.0
WNS,3.6,8500.0,51700.0,636.0,259.0
IndusInd Bank,3.7,8100.0,44300.0,365.0,249.0
Mahindra & Mahindra,4.1,8100.0,39100.0,421.0,98.0
DXC Technology,3.8,7300.0,76400.0,476.0,104.0
Infosys BPM,3.9,7300.0,53300.0,608.0,31.0
iEnergizer,4.4,7200.0,17300.0,255.0,79.0
IDFC FIRST Bank,4.0,6900.0,38200.0,356.0,86.0
Conneqt Business Solutions,3.7,6800.0,25100.0,268.0,31.0
Bajaj Finserv,4.0,6400.0,24200.0,296.0,46.0
Hinduja Global Solutions,4.0,6300.0,26800.0,152.0,62.0
HSBC Group,4.1,6300.0,55700.0,321.0,31.0
LTIMindtree,3.8,6200.0,76400.0,788.0,35.0
