,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Alkem Laboratories,4.0,2400.0,8800.0,106.0,20.0
1,Bharat Electronics,4.1,2400.0,11200.0,137.0,0.0
2,Atos,3.8,2400.0,25800.0,155.0,6.0
3,Team Lease,3.9,2400.0,14200.0,115.0,247.0
4,Persistent Systems,3.9,2400.0,26800.0,266.0,35.0
5,Alembic Pharmaceuticals,4.0,2400.0,12900.0,139.0,60.0
6,Wipro Consumer Care & Lighting,3.8,2400.0,2800.0,38.0,33.0
7,Indian Air Force,4.6,2400.0,5700.0,27.0,0.0
8,Hindustan Coca Cola Beverages,4.3,2300.0,7500.0,72.0,63.0
9,Cgi Group,4.2,2300.0,30200.0,150.0,198.0
10,Wipro Infotech,4.1,2300.0,19100.0,91.0,0.0
11,Hindalco Industries,4.2,2300.0,9300.0,101.0,2.0
12,Axis Direct,4.0,2300.0,8100.0,55.0,29.0
13,Publicis Sapient,3.6,2300.0,25500.0,274.0,189.0
14,DCB Bank,3.9,2300.0,8700.0,111.0,139.0
15,Vishal Mega Mart,3.8,2300.0,7300.0,101.0,5.0
16,CMS IT Services,3.2,2300.0,11500.0,79.0,7.0
17,Glenmark Pharmaceuticals,4.0,2300.0,10800.0,75.0,36.0
18,ABB Group,4.1,2300.0,14900.0,110.0,1.0
19,Ipca Laboratories,4.0,2300.0,10500.0,95.0,34.0
